COUNTRY,Country,SEX,Sex,AGE,Age,FREQUENCY,Frequency,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
HUN,Hungary,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.1574859945466,,
HUN,Hungary,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.4859241339067,,
HUN,Hungary,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,15.8445023217016,,
HUN,Hungary,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.72099995613098,,
HUN,Hungary,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.12124855374387,,
HUN,Hungary,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.72300004959106,,
HUN,Hungary,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.8080666557768,,
HUN,Hungary,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.2013746261177,,
HUN,Hungary,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.0689853738391,,
NOR,Norway,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.72940581327709,,
NOR,Norway,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.61393460576366,,
NOR,Norway,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.49200963917394,,
NOR,Norway,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.76126798308265,,
NOR,Norway,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,13.7540464638337,,
NOR,Norway,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.86511200469003,,
NOR,Norway,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.83400011062622,,
NOR,Norway,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.83987232962981,,
NOR,Norway,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.75099992752075,,
NOR,Norway,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.13516524383659,,
NOR,Norway,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,11.0716766442163,,
NOR,Norway,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.98223333921828,,
NOR,Norway,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.6029999256134,,
NOR,Norway,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.31005603304466,,
NOR,Norway,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.10400009155273,,
NOR,Norway,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.28007349252526,,
NOR,Norway,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,20.0728093628834,,
NOR,Norway,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,7.70485297822201,,
SVK,Slovak Republic,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,20.093193446515,,
SVK,Slovak Republic,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,22.72402127344,,
SVK,Slovak Republic,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,23.5775819866394,,
SVK,Slovak Republic,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,31.4170405090371,,
SVK,Slovak Republic,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,33.6689720518208,,
SVK,Slovak Republic,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,30.1847779046552,,
SVK,Slovak Republic,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,20.2369995117187,,
SVK,Slovak Republic,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,25.6890139150975,,
SVK,Slovak Republic,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,27.5149993896484,,
SVK,Slovak Republic,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,33.1516812068214,,
SVK,Slovak Republic,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,32.3590224512335,,
SVK,Slovak Republic,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,31.6609938491822,,
SVK,Slovak Republic,WOMEN,Women,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,19.8780002593994,,
SVK,Slovak Republic,WOMEN,Women,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,18.5397723816164,,
SVK,Slovak Republic,WOMEN,Women,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,18.125,,
SVK,Slovak Republic,WOMEN,Women,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,29.4932659570875,,
SVK,Slovak Republic,WOMEN,Women,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,34.8660272197904,,
SVK,Slovak Republic,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,28.5166102285847,,
CHE,Switzerland,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,17.0541890176737,,
CHE,Switzerland,MEN,Men,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,16.3950004577636,,
CHE,Switzerland,WOMEN,Women,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,17.7450008392333,,
USA,United States,MW,All persons,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.8986730900547,,
USA,United States,MW,All persons,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.61883443252684,,
USA,United States,MW,All persons,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.14857156909241,,
USA,United States,MW,All persons,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.99253177964758,,
USA,United States,MW,All persons,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,8.58287202532046,,
USA,United States,MW,All persons,900000,Total,A,Annual,2017,2017,MONTH,Months,0,Units,,,5.76427840882696,,
USA,United States,MEN,Men,1519,15 to 19,A,Annual,2017,2017,MONTH,Months,0,Units,,,2.9300000667572,,
USA,United States,MEN,Men,1524,15 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,3.75411568450927,,
USA,United States,MEN,Men,2024,20 to 24,A,Annual,2017,2017,MONTH,Months,0,Units,,,4.32000017166137,,
USA,United States,MEN,Men,2554,25 to 54,A,Annual,2017,2017,MONTH,Months,0,Units,,,6.04944366703654,,
USA,United States,MEN,Men,5599,55,A,Annual,2017,2017,MONTH,Months,0,Units,,,9.00571455274309,,
